latitude,longitude,date,species
39.504517,-0.363889,2016-06-08 23:09:05.010000+00:00,"{'edited_user_notes': 'Nota experto: Se trata de otra especie de mosquito, uno de la familia Culex. Muchas gracias por el aporte!', 'photo_html': '<a href=""https://webserver.mosquitoalert.com/media/tigapics/fee0d610-260f-42b6-80e2-70cdafa8076d.jpg"" target=""_blank""><img src=""https://webserver.mosquitoalert.com/media/tigapics_popups/fee0d610-260f-42b6-80e2-70cdafa8076d.jpg""></a>', 'tiger_certainty_category': -2, 'aegypti_certainty_category': -2, 'score': -2, 'classification': 'none'}"
41.47329,2.084138,2016-03-06 19:10:19.976000+00:00,"{'edited_user_notes': 'Nota experto: Se trata de otro mosquito, tal vez un Culex pipiens. Gracias por el aporte!', 'photo_html': '<a href=""https://webserver.mosquitoalert.com/media/tigapics/c03bc965-477c-4b03-8197-f832be1ecee1.jpg"" target=""_blank""><img src=""https://webserver.mosquitoalert.com/media/tigapics_popups/c03bc965-477c-4b03-8197-f832be1ecee1.jpg""></a>', 'tiger_certainty_category': -2, 'aegypti_certainty_category': -2, 'score': -2, 'classification': 'none'}"
41.305187,2.0005045,2016-06-15 20:21:46.130000+00:00,"{'edited_user_notes': 'Nota experto: Gracias por el interés y por usar la aplicación. No es un mosquito tigre sino un mosquito común, Culex pipiens. Posado en la pared en su descanso diurno, la próxima noche seguramente ya pondrá esos huevos que se ven en su abdomen distendido... esta os picó hace algunos días! Gracias de nuevo ', 'photo_html': '<a href=""https://webserver.mosquitoalert.com/media/tigapics/89efd585-ab34-4e74-b01c-ed3989f7cbe7.jpg"" target=""_blank""><img src=""https://webserver.mosquitoalert.com/media/tigapics_popups/89efd585-ab34-4e74-b01c-ed3989f7cbe7.jpg""></a>', 'tiger_certainty_category': -3, 'aegypti_certainty_category': -3, 'score': -3, 'classification': 'none'}"
40.329334,-3.769675,2016-02-06 11:39:49.964000+00:00,"{'edited_user_notes': 'Nota experto: Se trata de otra especie de mosquito, seguramente un Culex pipiens, que como comentas tiene una actividad nocturna. Gracias por el aporte!', 'photo_html': '<a href=""https://webserver.mosquitoalert.com/media/tigapics/53a1dd39-76a8-4957-b665-77f8d9244a65.jpg"" target=""_blank""><img src=""https://webserver.mosquitoalert.com/media/tigapics_popups/53a1dd39-76a8-4957-b665-77f8d9244a65.jpg""></a>', 'tiger_certainty_category': -2, 'aegypti_certainty_category': -2, 'score': -2, 'classification': 'none'}"
36.72432,-4.435694,2016-11-17 15:09:05.370000+00:00,"{'edited_user_notes': 'Nota experto: No se trata de un mosquito tigre, ya que no tiene rayas blancas ni en sus patas ni en el abdomen. Pero si que es otra especie de mosquito, concretamente el mosquito común Culex pipiens. Así que gracias por tu colaboración!', 'photo_html': '<a href=""https://webserver.mosquitoalert.com/media/tigapics/371df68d-3322-4fb9-be8c-b9c93af74173.jpg"" target=""_blank""><img src=""https://webserver.mosquitoalert.com/media/tigapics_popups/371df68d-3322-4fb9-be8c-b9c93af74173.jpg""></a>', 'tiger_certainty_category': -2, 'aegypti_certainty_category': -2, 'score': -2, 'classification': 'none'}"
41.95299,2.821082,2016-06-18 10:49:35.135000+00:00,"{'edited_user_notes': 'Nota experta: No es mosquito tigre, sino muy probablemente mosquito común, Culex pipiens. Gracias!', 'photo_html': '<a href=""https://webserver.mosquitoalert.com/media/tigapics/db5dbe13-c291-430f-ba81-ab62c9d5291c.jpg"" target=""_blank""><img src=""https://webserver.mosquitoalert.com/media/tigapics_popups/db5dbe13-c291-430f-ba81-ab62c9d5291c.jpg""></a>', 'tiger_certainty_category': -2, 'aegypti_certainty_category': -2, 'score': -2, 'classification': 'none'}"
36.58809,-4.570649,2016-05-15 06:43:14.171000+00:00,"{'edited_user_notes': 'Nota experto: Muy probablemente se trate de un mosquito tigre, aunque nos falta ver todas sus características morfológicas, como la línea blanca del tórax. En las piscinas abandonadas, si tienen mucha agua, no suele criar esta especie de mosquito, tal vez otras como el Culex pipiens. Y en arroyos tampoco se suele encontrar. Gracias por el aporte!', 'photo_html': '<a href=""https://webserver.mosquitoalert.com/media/tigapics/84001da9-8538-4110-9a9f-c61e2078b93c.jpg"" target=""_blank""><img src=""https://webserver.mosquitoalert.com/media/tigapics_popups/84001da9-8538-4110-9a9f-c61e2078b93c.jpg""></a>', 'tiger_certainty_category': 1, 'aegypti_certainty_category': -3, 'score': 1, 'classification': 'albopictus'}"
37.65937,-1.7101059,2016-03-16 00:42:36.590000+00:00,"{'edited_user_notes': 'Nota experta:\r\nGracias por participar, parece un mosquito común del género Culex, los mosquitos tigre son más oscuros y negruzcos con una marcadas manchas blancas en el cuerpo y las patas.', 'photo_html': '<a href=""https://webserver.mosquitoalert.com/media/tigapics/fb52b5b2-038f-4324-b317-61f4b9f64859.jpg"" target=""_blank""><img src=""https://webserver.mosquitoalert.com/media/tigapics_popups/fb52b5b2-038f-4324-b317-61f4b9f64859.jpg""></a>', 'tiger_certainty_category': -2, 'aegypti_certainty_category': -2, 'score': -2, 'classification': 'none'}"
38.35997,-0.486022,2016-08-31 23:12:06.130000+00:00,"{'edited_user_notes': 'Esta foto parece ser de otra especie de mosquito, ya que no se parece ni al mosquito tigre ni al mosquito de la fiebre amarilla. Más bien nos parece ser un mosquito común, Culex pipiens, de costumbres nocturnas, ¿puede ser? En www.mosquitoalert.com encontrarás trucos para reconocer estas especies y atrapar y fotografiar estos insectos. ¡Envía más fotos!', 'photo_html': '<a href=""https://webserver.mosquitoalert.com/media/tigapics/191ebd7f-5d76-4df8-a3b7-a0f69d1477a1.jpg"" target=""_blank""><img src=""https://webserver.mosquitoalert.com/media/tigapics_popups/191ebd7f-5d76-4df8-a3b7-a0f69d1477a1.jpg""></a>', 'tiger_certainty_category': -2, 'aegypti_certainty_category': -2, 'score': -2, 'classification': 'none'}"
39.637653,2.729554,2016-06-22 15:51:15.790000+00:00,"{'edited_user_notes': 'Nota experto: no se trata de un mosquito tigre,  y aunque la foto no sea muy buena parece que es un Culex. En esa zona de marratxi si que hemos detectado varios mosquitos tigre. Gracias por participar! ', 'photo_html': '<a href=""https://webserver.mosquitoalert.com/media/tigapics/8606158e-c391-402e-a271-c6ad35adf019.jpg"" target=""_blank""><img src=""https://webserver.mosquitoalert.com/media/tigapics_popups/8606158e-c391-402e-a271-c6ad35adf019.jpg""></a>', 'tiger_certainty_category': -2, 'aegypti_certainty_category': -2, 'score': -2, 'classification': 'none'}"
36.591927,-4.643083,2017-08-16 21:57:32.010000+00:00,"{'edited_user_notes': 'Esta foto parece ser de otra especie de mosquito, ya que no se parece ni al mosquito tigre ni al mosquito de la fiebre amarilla. Parece pertenecer al género Culex pero no nos atrevemos con la especie. En www.mosquitoalert.com encontrarás trucos para reconocer estas especies y atrapar y fotografiar estos insectos. ¡Envía más fotos!', 'photo_html': '<a href=""https://webserver.mosquitoalert.com/media/tigapics/72413c21-ec84-4238-afef-72f15040219e.jpg"" target=""_blank""><img src=""https://webserver.mosquitoalert.com/media/tigapics_popups/72413c21-ec84-4238-afef-72f15040219e.jpg""></a>', 'tiger_certainty_category': -2, 'aegypti_certainty_category': -2, 'score': -2, 'classification': 'none'}"
28.1492,-15.432389,2017-01-09 16:46:37.100000+00:00,"{'edited_user_notes': 'Gracias por participar! No se aprecian bien todas las características del mosquito y por ello no se puede saber segura de que especie se trata. Lo que sí está claro por la coloración es que no se trata de un mosquito tigre ya que éste último es negro con destacadas manchas blancas. Por lo que se puede apreciar en la imagen, efectivamente la probabilidad más elevada es para un Culex. Por cierto, ha tomado sangre hace pocos días, se puede ver en su abdomen ya coagulada en negro. De nuevo gracias por mostrar interés. ', 'photo_html': '<a href=""https://webserver.mosquitoalert.com/media/tigapics/ca956484-7ab9-4847-bb06-657fd0f93e1b.JPG"" target=""_blank""><img src=""https://webserver.mosquitoalert.com/media/tigapics_popups/ca956484-7ab9-4847-bb06-657fd0f93e1b.JPG""></a>', 'tiger_certainty_category': -2, 'aegypti_certainty_category': -2, 'score': -2, 'classification': 'none'}"
36.7294,-4.389405,2017-09-25 15:12:21.868000+00:00,"{'edited_user_notes': 'Nota experto: Se trata de otra especie de mosquito, no del mosquito tigre. Seguramente se trata de un macho de Culex. Gracias de todas maneras por tu colaboración!', 'photo_html': '<a href=""https://webserver.mosquitoalert.com/media/tigapics/0ec296a1-e88f-41a6-827a-59258ace050a.jpg"" target=""_blank""><img src=""https://webserver.mosquitoalert.com/media/tigapics_popups/0ec296a1-e88f-41a6-827a-59258ace050a.jpg""></a>', 'tiger_certainty_category': -2, 'aegypti_certainty_category': -2, 'score': -2, 'classification': 'none'}"
39.4641,-0.3558113,2017-04-21 10:39:35.865000+00:00,"{'edited_user_notes': 'Esta foto parece ser de otra especie de mosquito, ya que no se parece ni al mosquito tigre ni al mosquito de la fiebre amarilla. Concretamente tiene todo el aspecto de ser un Culex pipiens, el mosquito común, de costumbres nocturnas. En www.mosquitoalert.com encontrarás trucos para reconocer estas especies y atrapar y fotografiar estos insectos. ¡Envía más fotos!', 'photo_html': '<a href=""https://webserver.mosquitoalert.com/media/tigapics/1164f6ee-ac27-4979-84ba-a493d7f243a0.jpg"" target=""_blank""><img src=""https://webserver.mosquitoalert.com/media/tigapics_popups/1164f6ee-ac27-4979-84ba-a493d7f243a0.jpg""></a>', 'tiger_certainty_category': -2, 'aegypti_certainty_category': -2, 'score': -2, 'classification': 'none'}"
